Time;69_10;69_36;69_49;69_62;69_75;69_88;69_101;69_790;69_894;69_933;69_946
17.01.2023 09:46:30.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.220000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.270000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.320000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.970000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.020000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.070000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.220000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.270000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.320000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:31.970000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.020000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.070000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.220000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.270000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.320000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:32.970000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:33.020000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:33.070000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:33.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:33.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:33.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:33.720000;1;1;1;1;1;1;1;0;1;1;0
